,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
925,Angel Has Fallen,Gerard Butler,Frederick Schmidt,Danny Huston," 82,272",Action,Thriller,-,Color,"1,976",R
926,Army of Thieves,Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee," 174,357 ",Action,Comedy,Crime,-,"2,132",TV-MA
927,Need for Speed,Aaron Paul,Dominic Cooper,Imogen Poots," 321,632 ",Action,Adventure,Thriller,-,"2,224",PG-13
928,Salt,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor," 56,971 ",Action,Thriller,-,"$118,311,368","2,246",PG-13
929,The Three Musketeers,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell," 222,654 ",Action,Adventure,Romance,-,"2,417",PG
930,Pain & Gain,Mark Wahlberg,Dwayne Johnson,Anthony Mackie," 28,075",Action,Comedy,Crime,"$49,875,291","2,544",R
931,The Vault,Freddie Highmore,Astrid Bergès-Frisbey,Sam Riley," 213,721 ",Action,Adventure,Thriller,-,"2,579",R
932,Death Race,Jason Statham,Joan Allen,Tyrese Gibson," 303,436 ",Action,Sci-Fi,Thriller,"$36,316,032","2,616",R
933,Now You See Me 2,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson," 495,285 ",Action,Adventure,Comedy,-,"2,624",PG-13
934,Hancock,Will Smith,Charlize Theron,Jason Bateman," 45,721 ",Action,Comedy,Drama,Color,"2,669",PG-13
935,Revenge,Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe," 169,089 ",Action,Drama,Horror,-,"2,726",R
936,Monsters vs. Aliens,Reese Witherspoon,Rainn Wilson,Stephen Colbert," 109,594 ",Animation,Action,Adventure,"$198,351,526","2,973",PG
937,Tango & Cash,Sylvester Stallone,Kurt Russell,Teri Hatcher," 119,475 ",Action,Comedy,Crime,"$63,408,614","3,014",R
938,Rat Race,Breckin Meyer,Amy Smart,Whoopi Goldberg," 120,344 ",Action,Adventure,Comedy,-,"3,020",PG-13
939,The Sum of All Fears,Ben Affleck,Morgan Freeman,Ian Mongrain," 132,321 ",Action,Drama,Thriller,Color,"3,025",PG-13
940,Savages,Aaron Taylor-Johnson,Taylor Kitsch,Blake Lively," 237,046 ",Action,Crime,Drama,ColorBlack and White,"3,074",R
941,Predators,Adrien Brody,Laurence Fishburne,Topher Grace," 104,128 ",Action,Adventure,Fantasy,United States,"3,091",R
942,Colombiana,Zoe Saldana,Michael Vartan,Callum Blue," 239,307 ",Action,Drama,Thriller,Color,"3,123",PG-13
943,The Lone Ranger,Johnny Depp,Armie Hammer,William Fichtner," 204,960 ",Action,Adventure,Western,"$89,302,115","3,266",PG-13
944,The World Is Not Enough,Pierce Brosnan,Sophie Marceau,Robert Carlyle," 70,370 ",Action,Adventure,Thriller,Color,"3,319",PG-13
945,Act of Valor,Alex Veadov,Roselyn Sanchez,Nestor Serrano," 67,190 ",Action,Adventure,Thriller,Color,"3,768",R
946,Darkman,Liam Neeson,Frances McDormand,Colin Friels," 109,897 ",Action,Sci-Fi,Thriller,Color,"3,790",R
947,Faster,Dwayne Johnson,Billy Bob Thornton,Maggie Grace," 156,770 ",Action,Crime,Drama,-,"3,958",R
948,The Purge: Anarchy,Frank Grillo,Carmen Ejogo,Zach Gilford," 108,941 ",Action,Horror,Sci-Fi,SDDSDatasatDolby Digital EXDolby Surround 7.1Dolby Atmos,"3,967",R
949,Behind Enemy Lines,Gene Hackman,Owen Wilson,Gabriel Macht," 99,611 ",Action,Drama,Thriller,Color,"3,997",PG-13
